,Job Title,min salary,max,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply
575,Equity Data/Research Analyst,57000.00,103000.00,"Los Angeles, CA",-1,-1,-1,-1,-1,-1,-1,-1,-1
576,Data Analyst,57000.00,103000.00,"Los Angeles, CA","Irvine, CA",51 to 200 employees,1990,Company - Private,Video Games,Media,Unknown / Non-Applicable,-1,-1
577,Data Analyst,57000.00,103000.00,"Anaheim, CA","Irvine, CA",201 to 500 employees,-1,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,-1,-1
578,Data Analyst - (Python),57000.00,103000.00,"Long Beach, CA","Dana Point, CA",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
579,Data Analyst / Developer,57000.00,103000.00,"Los Angeles, CA",-1,-1,-1,-1,-1,-1,-1,-1,-1
580,Data Analyst I,57000.00,103000.00,"Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,1997,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,"Health Net, Kaiser Permanente, Molina Healthcare",-1
581,Data Analyst,57000.00,103000.00,"Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,-1,Government,Municipal Governments,Government,Unknown / Non-Applicable,-1,-1
582,Data Analyst,57000.00,103000.00,"Los Angeles, CA","San Diego, CA",51 to 200 employees,2001,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1,-1
583,Billingual Chinese - Data Analyst,57000.00,103000.00,"Los Angeles, CA","Los Angeles, CA",1 to 50 employees,2016,Company - Public,Real Estate,Real Estate,Unknown / Non-Applicable,-1,-1
584,Data Analyst,57000.00,103000.00,"Los Angeles, CA","Los Angeles, CA",51 to 200 employees,2015,Subsidiary or Business Segment,Colleges & Universities,Education,Unknown / Non-Applicable,"Chegg, Tutor.com, Smarthinking",-1
585,Reporting Data Analyst,57000.00,103000.00,"El Segundo, CA","El Segundo, CA",51 to 200 employees,1989,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1
586,Public Policy Data Analyst,57000.00,103000.00,"Los Angeles, CA","Los Gatos, CA",1001 to 5000 employees,1997,Company - Public,Internet,Information Technology,$5 to $10 billion (USD),-1,-1
587,Epidemiologist Data Analyst-Urology,57000.00,103000.00,"Los Angeles, CA","Sacramento, CA",10000+ employees,-1,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,-1
588,Data Analyst I,57000.00,103000.00,"Northridge, CA","Tarzana, CA",501 to 1000 employees,1971,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),-1,-1
589,Data Systems Analyst,57000.00,103000.00,"Los Angeles, CA","Los Angeles, CA",51 to 200 employees,2009,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,-1
590,"Data Analyst, Predictive Analytics",57000.00,103000.00,"Los Angeles, CA","El Segundo, CA",1001 to 5000 employees,1998,Company - Private,Internet,Information Technology,$1 to $2 billion (USD),-1,-1
591,Data Reporting Analyst,57000.00,103000.00,"Los Angeles, CA","Menlo Park, CA",10000+ employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"Adecco, Manpower",-1
592,Data Analyst,57000.00,103000.00,"Los Angeles, CA","New York, NY",5001 to 10000 employees,2019,Company - Public,TV Broadcast & Cable Networks,Media,Unknown / Non-Applicable,-1,-1
593,Business Data Analyst,57000.00,103000.00,"Los Angeles, CA","West Roxbury, MA",1 to 50 employees,-1,Nonprofit Organization,-1,-1,Unknown / Non-Applicable,-1,-1
594,Business Data Analyst,57000.00,103000.00,"Los Angeles, CA","Seoul, South Korea",501 to 1000 employees,2017,Company - Private,Video Games,Media,Unknown / Non-Applicable,"Activision, Riot Games, Electronic Arts",-1
595,Epidemiologist Data Analyst-Urology,57000.00,103000.00,"Los Angeles, CA","Los Angeles, CA",5001 to 10000 employees,1919,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,"Cedars-Sinai Medical Center, Loma Linda University Health, Harbor Hospital",-1
596,Mid-Data Analyst,57000.00,103000.00,"Los Angeles, CA","Menlo Park, CA",10000+ employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"Adecco, Manpower",-1
597,Associate Player Support Data Analyst,57000.00,103000.00,"El Segundo, CA","Santa Monica, CA",10000+ employees,1979,Company - Public,Video Games,Media,$5 to $10 billion (USD),-1,-1
598,BI/Data Analyst,57000.00,103000.00,"Los Angeles, CA","Los Angeles, CA",201 to 500 employees,2012,Company - Private,Other Retail Stores,Retail,Unknown / Non-Applicable,-1,-1
599,"Sr. Data Analyst, Ad Operations",57000.00,103000.00,"Venice, CA","Venice, CA",201 to 500 employees,2013,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1
600,Data Analyst Junior,35000.00,45000.00,"Los Angeles, CA","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1
601,"Customer Insights Manager, Data Analyst | Mobile",35000.00,45000.00,"Los Angeles, CA","Austin, TX",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
602,Research Sr. Data Analyst - Kaiser Permanente Bernard J. Tyson School of Medicine,35000.00,45000.00,"Pasadena, CA","Oakland, CA",10000+ employees,1945,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10+ billion (USD),"HCA Healthcare, Dignity Health, Sutter Health",-1
603,"Senior Business Technology Analyst - Big Data (Los Angeles area, CA)",35000.00,45000.00,"Los Angeles, CA","Evanston, IL",5001 to 10000 employees,1983,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,-1
604,Financial Data Analyst,35000.00,45000.00,"El Segundo, CA","Goleta, CA",501 to 1000 employees,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),-1,-1
605,Enterprise Data Quality Analyst - EDM,35000.00,45000.00,"Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,1954,Subsidiary or Business Segment,Banks & Credit Unions,Finance,Unknown / Non-Applicable,"East West Bank, Bank of the West, First Republic Bank",-1
606,Survey Data Analyst,35000.00,45000.00,"Los Angeles, CA","Walnut Creek, CA",51 to 200 employees,2005,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1
607,Data Analyst/SQL/Healthcare Or Medical OR Clinical,35000.00,45000.00,"Pasadena, CA","Santa Clara, CA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1
608,Data Analyst Manager,35000.00,45000.00,"Los Angeles, CA",-1,-1,-1,-1,-1,-1,-1,-1,-1
609,Enterprise Data Analyst,35000.00,45000.00,"Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,1954,Subsidiary or Business Segment,Banks & Credit Unions,Finance,Unknown / Non-Applicable,"East West Bank, Bank of the West, First Republic Bank",-1
610,MEDIA DATA ANALYST,35000.00,45000.00,"Los Angeles, CA",-1,-1,-1,-1,-1,-1,-1,-1,-1
611,Data Analyst - Personalization,35000.00,45000.00,"Los Angeles, CA","El Segundo, CA",1001 to 5000 employees,1998,Company - Private,Internet,Information Technology,$1 to $2 billion (USD),-1,-1
612,Data Systems Analyst III,35000.00,45000.00,"Los Angeles, CA",-1,-1,-1,-1,-1,-1,-1,-1,-1
613,Data Analyst / Developer,35000.00,45000.00,"Los Angeles, CA","Tampa, FL",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),-1,-1
614,Senior Data Bi Analyst,35000.00,45000.00,"Alhambra, CA","Sandy, UT",1 to 50 employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,-1
615,"Operations Analyst, Data Governance",35000.00,45000.00,"Burbank, CA","New York, NY",10000+ employees,2003,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media,$10+ billion (USD),"Walt Disney Company, NBCUniversal",-1
616,"Analyst, Data (Pharmacy & SQL)",35000.00,45000.00,"Long Beach, CA","Long Beach, CA",10000+ employees,1980,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1,-1
617,"Sr. Business Analyst, Data Science and Analytics",35000.00,45000.00,"Santa Monica, CA","Santa Monica, CA",201 to 500 employees,2013,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,-1,-1
618,Enterprise Data Quality Analyst - EDM,35000.00,45000.00,"Los Angeles, CA","Houston, TX",201 to 500 employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1
619,Microsoft Dynamics CRM Data Analyst,35000.00,45000.00,"Los Angeles, CA","Armonk, NY",10000+ employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),"Amazon, Accenture, Microsoft",-1
620,"Marketing Data Analyst, Teleflora",35000.00,45000.00,"Los Angeles, CA","Los Angeles, CA",5001 to 10000 employees,1980,Company - Private,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),-1,-1
621,Senior Customer Data Analyst : 20,35000.00,45000.00,"Los Angeles, CA","Santa Clara, CA",51 to 200 employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),"Collabera, Artech Information Systems, TEKsystems",-1
622,REMOTE Data Analyst - POWER BI+MONGO+ DAX EXPERIENCE,35000.00,45000.00,"Santa Monica, CA",-1,-1,-1,-1,-1,-1,-1,-1,-1
623,Data Analyst - User Growth,35000.00,45000.00,"Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1
624,Automotive Data Analyst,35000.00,45000.00,"El Segundo, CA","Los Angeles, CA",501 to 1000 employees,1948,Company - Public,TV Broadcast & Cable Networks,Media,Unknown / Non-Applicable,-1,-1
625,Data Analyst - Product,35000.00,45000.00,"Brea, CA","Los Angeles, CA",1001 to 5000 employees,1961,Company - Public,Insurance Carriers,Insurance,$2 to $5 billion (USD),-1,-1
626,"Sr. Analyst, Data",35000.00,45000.00,"Long Beach, CA","Long Beach, CA",10000+ employees,1980,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1,-1
627,Senior Data Insights Analyst,35000.00,45000.00,"El Segundo, CA","El Segundo, CA",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
628,Bilingual (Chinese) Data Analyst,42000.00,66000.00,"Los Angeles, CA","Los Angeles, CA",1 to 50 employees,2016,Company - Public,Real Estate,Real Estate,Unknown / Non-Applicable,-1,-1
629,Systems and Data Analyst - SQL,42000.00,66000.00,"Duarte, CA","Carson, CA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1
630,Data Entry Analyst,42000.00,66000.00,"Woodland Hills, CA","Jacksonville, FL",1001 to 5000 employees,1994,Company - Public,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1
631,"Sr Analyst, Data Operations",42000.00,66000.00,"Burbank, CA","Bishnupur , India",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
632,Data Intelligence Analyst II,42000.00,66000.00,"Los Angeles, CA","El Segundo, CA",201 to 500 employees,1996,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),"Kforce, NTT DATA, IBM",-1
633,Business Analyst / Data Analyst with Financial Industry Experience,42000.00,66000.00,"Monterey Park, CA","Hyderabad, India",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
634,Sr. Data Analyst,42000.00,66000.00,"Burbank, CA","Overland Park, KS",201 to 500 employees,1998,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1,-1
635,Investment Reporting Data Analyst,42000.00,66000.00,"El Segundo, CA","Los Angeles, CA",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
636,Jr. Data Analyst (Jr. DA),42000.00,66000.00,"Glendale, CA","Dayton, OH",1 to 50 employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),-1,-1
637,Sr. Business Data Analyst,42000.00,66000.00,"Santa Monica, CA","Irvine, CA",51 to 200 employees,2005,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),"CyberCoders, Kforce, ASGN Incorporated",-1
638,Data Reporting Analyst,42000.00,66000.00,"Pasadena, CA","New York, NY",501 to 1000 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1
639,Pricing Data Analyst,42000.00,66000.00,"Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,1954,Subsidiary or Business Segment,Banks & Credit Unions,Finance,Unknown / Non-Applicable,"East West Bank, Bank of the West, First Republic Bank",-1
640,Senior Data Engineer & Analyst,42000.00,66000.00,"Pasadena, CA","Fremont, CA",51 to 200 employees,-1,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Less than $1 million (USD),-1,-1
641,Principal Data Management Analyst,42000.00,66000.00,"Woodland Hills, CA","Falls Church, VA",10000+ employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,-1
642,Sr. Data Analyst,42000.00,66000.00,"Burbank, CA","South Jordan, UT",201 to 500 employees,1996,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),-1,-1
643,Sr Data Analyst (DW),42000.00,66000.00,"Los Angeles, CA","Brea, CA",1 to 50 employees,1994,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),"OpenSymmetry, Perficient, DataClarity",-1
644,"Data Analyst, Product",42000.00,66000.00,"Culver City, CA","Los Angeles, CA",501 to 1000 employees,2010,Company - Private,Video Games,Media,Unknown / Non-Applicable,-1,-1
645,"Digital Media Data Analyst, Apple TV+",42000.00,66000.00,"Culver City, CA","Cupertino, CA",10000+ employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Google, Microsoft, Samsung Electronics",-1
646,Data Intelligence Analyst,42000.00,66000.00,"Cerritos, CA","Williamsville, NY",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),-1,-1
647,"Operations Analyst, Data Governance",42000.00,66000.00,"Burbank, CA","Bishnupur , India",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
648,Sr. Data Analyst,42000.00,66000.00,"Marina del Rey, CA","Marina del Rey, CA",201 to 500 employees,2011,Company - Private,Beauty & Personal Accessories Stores,Retail,Unknown / Non-Applicable,-1,-1
649,Data Technician/Analyst/Specialist,42000.00,66000.00,"Long Beach, CA","Singapore, Singapore",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
650,Data Analyst,42000.00,66000.00,"Culver City, CA","Los Angeles, CA",1001 to 5000 employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1
651,Research Data Analyst,42000.00,66000.00,"El Segundo, CA",-1,-1,-1,-1,-1,-1,-1,-1,-1
652,【1yr OPT+Intern】Data Analyst 保实习保就业,42000.00,66000.00,"Arcadia, CA","Noida, India",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
653,Heightened Standards Data Analyst,42000.00,66000.00,"Beverly Hills, CA","Los Angeles, CA",1001 to 5000 employees,1954,Subsidiary or Business Segment,Banks & Credit Unions,Finance,Unknown / Non-Applicable,"East West Bank, Bank of the West, First Republic Bank",-1
654,Corporate: Data Analyst,42000.00,66000.00,"Torrance, CA","Carson, CA",1001 to 5000 employees,1995,Company - Public,Automotive Parts & Accessories Stores,Retail,$100 to $500 million (USD),"AutoZone, eBay, Advance Auto Parts",-1
655,Sr Data Analyst,42000.00,66000.00,"Los Angeles, CA","Los Angeles, CA",1 to 50 employees,2002,Company - Private,Internet,Information Technology,$10 to $25 million (USD),-1,-1
656,Data Analyst I- ON SITE POSITION,42000.00,66000.00,"Panorama City, CA","Panorama City, CA",1 to 50 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1
657,"Analyst, Data",42000.00,66000.00,"Long Beach, CA","Long Beach, CA",10000+ employees,1980,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1,-1
658,Data Analyst,65000.00,81000.00,"Glendale, CA","Glendale, CA",51 to 200 employees,2014,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1,-1
659,Credit Data Analyst,65000.00,81000.00,"Glendale, CA",-1,-1,-1,-1,-1,-1,-1,-1,-1
660,Sr Performance Metrics Data Analyst,65000.00,81000.00,"Los Angeles, CA",-1,-1,-1,-1,-1,-1,-1,-1,-1
661,Sr. Data Analyst,65000.00,81000.00,"Signal Hill, CA",-1,-1,-1,-1,-1,-1,-1,-1,-1
662,Data Analyst,65000.00,81000.00,"Long Beach, CA","Danbury, CT",201 to 500 employees,1935,Company - Private,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD),-1,-1
663,SENIOR DATA BI ANALYST,65000.00,81000.00,"Alhambra, CA","Alhambra, CA",501 to 1000 employees,1994,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1
664,Data Analyst - MS Access & Excel,65000.00,81000.00,"Azusa, CA","Anaheim, CA",51 to 200 employees,1979,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,-1
665,Data Analyst (Asset Management / eDiscovery),65000.00,81000.00,"Burbank, CA","Los Angeles, CA",51 to 200 employees,2001,Company - Private,Consulting,Business Services,$5 to $10 million (USD),-1,-1
666,Jr. Data Analyst,65000.00,81000.00,"El Segundo, CA","El Segundo, CA",51 to 200 employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD),-1,-1
667,Sr. Data Analyst,65000.00,81000.00,"Marina del Rey, CA","London, United Kingdom",10000+ employees,1872,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),"Procter & Gamble, Nestlé, Johnson & Johnson",-1
668,"Data Analyst - Health, Experienced",65000.00,81000.00,"Woodland Hills, CA","Oakland, CA",5001 to 10000 employees,1939,Nonprofit Organization,Insurance Carriers,Insurance,$10+ billion (USD),-1,-1
669,Product/Data Analyst,65000.00,81000.00,"Glendale, CA",-1,-1,-1,-1,-1,-1,-1,-1,-1
670,Data Analyst,65000.00,81000.00,"Long Beach, CA","Radnor, PA",10000+ employees,1982,Company - Public,Chemical Manufacturing,Manufacturing,$5 to $10 billion (USD),-1,-1
671,Reporting Data Analyst,65000.00,81000.00,"El Segundo, CA","New York, NY",1001 to 5000 employees,1990,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),-1,-1
672,Data Intelligence Analyst,65000.00,81000.00,"Cerritos, CA","Cerritos, CA",201 to 500 employees,2003,Company - Public,"Department, Clothing, & Shoe Stores",Retail,Unknown / Non-Applicable,-1,-1
673,"Data Analyst-Cerritos, CA",65000.00,81000.00,"Cerritos, CA","Alpharetta, GA",1 to 50 employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,-1
674,Digital Marketing Data Analyst,65000.00,81000.00,"El Segundo, CA",-1,-1,-1,-1,-1,-1,-1,-1,-1
675,Sr Performance Metrics Data Analyst,65000.00,81000.00,"Los Angeles, CA","Los Angeles, CA",201 to 500 employees,-1,Company - Public,-1,-1,$100 to $500 million (USD),-1,-1
676,Student Data Compliance Analyst,65000.00,81000.00,"Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,2003,Nonprofit Organization,K-12 Education,Education,$50 to $100 million (USD),-1,-1
677,Data Quality Control Analyst,65000.00,81000.00,"Glendale, CA","Houston, TX",201 to 500 employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1
678,Senior Data Management Analyst,65000.00,81000.00,"El Segundo, CA","New York, NY",1001 to 5000 employees,1990,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),-1,-1
679,Sr. Data Analyst,65000.00,81000.00,"Burbank, CA","Burbank, CA",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
680,Data Analyst HEDIS Star,65000.00,81000.00,"Long Beach, CA","Long Beach, CA",501 to 1000 employees,1977,Nonprofit Organization,Insurance Carriers,Insurance,$2 to $5 billion (USD),-1,-1
681,Data Analyst,65000.00,81000.00,"Santa Monica, CA","Santa Monica, CA",51 to 200 employees,2007,Company - Private,Video Games,Media,Unknown / Non-Applicable,-1,-1
682,Sr. Data Analyst,65000.00,81000.00,"Long Beach, CA","Long Beach, CA",10000+ employees,1980,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1,-1
683,SAP Master Data Analyst,65000.00,81000.00,"Los Angeles, CA","Bolton, CT",51 to 200 employees,-1,Company - Private,Consumer Products Manufacturing,Manufacturing,$10 to $25 million (USD),-1,-1
684,Service Operations Data Analyst,65000.00,81000.00,"City of Industry, CA","City of Industry, CA",501 to 1000 employees,1919,Company - Private,Commercial Equipment Repair & Maintenance,"Construction, Repair & Maintenance",Unknown / Non-Applicable,"John Deere, Bobcat Company",-1
685,Data Analyst I,65000.00,81000.00,"Northridge, CA",-1,-1,-1,-1,-1,-1,-1,-1,-1
686,Senior Data Management Analyst,65000.00,81000.00,"El Segundo, CA","Los Angeles, CA",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
687,System and Data Analyst,113000.00,132000.00,"Arcadia, CA","Arcadia, CA",501 to 1000 employees,1926,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1,-1
688,Service Operations Data Analyst,113000.00,132000.00,"City of Industry, CA","Taipei, Taiwan",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
689,SAP Master Data Analyst,113000.00,132000.00,"Los Angeles, CA","Canoga Park, CA",1 to 50 employees,2013,Company - Public,-1,-1,Less than $1 million (USD),-1,-1
690,Business Analyst Asset Data Management,113000.00,132000.00,"Los Angeles, CA","Boca Raton, FL",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
691,Sr Digital Marketing Data Analyst (PAID SOCIAL),113000.00,132000.00,"Santa Monica, CA","San Mateo, CA",1 to 50 employees,2013,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1
692,19-0574 - Service Operations Data Analyst,113000.00,132000.00,"City of Industry, CA","City of Industry, CA",501 to 1000 employees,1919,Company - Private,Commercial Equipment Repair & Maintenance,"Construction, Repair & Maintenance",Unknown / Non-Applicable,"John Deere, Bobcat Company",-1
693,Discovery Data Analyst,113000.00,132000.00,"Burbank, CA","Singapore, Singapore",201 to 500 employees,-1,Company - Private,Accounting,Accounting & Legal,Unknown / Non-Applicable,-1,-1
694,"Analyst, Financial Master Data",113000.00,132000.00,"Burbank, CA","Bishnupur , India",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
695,Data Analyst-HEDIS & Star,113000.00,132000.00,"Long Beach, CA","Long Beach, CA",501 to 1000 employees,1977,Nonprofit Organization,Insurance Carriers,Insurance,$2 to $5 billion (USD),-1,-1
696,Music Copyright Data Analyst,113000.00,132000.00,"Woodland Hills, CA","Glendale, CA",1001 to 5000 employees,1964,Company - Private,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),"Kelly, Manpower",-1
697,Sr. Data Analyst,113000.00,132000.00,"El Segundo, CA","El Segundo, CA",51 to 200 employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD),-1,-1
698,Sr. Data Analyst,113000.00,132000.00,"Burbank, CA",-1,-1,-1,-1,-1,-1,-1,-1,-1
699,Sr. Data Governance Analyst,113000.00,132000.00,"Arcadia, CA","Plainsboro, NJ",1 to 50 employees,-1,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),-1,-1
700,"Data Analyst - Health, Senior",113000.00,132000.00,"Woodland Hills, CA","Oakland, CA",5001 to 10000 employees,1939,Nonprofit Organization,Insurance Carriers,Insurance,$10+ billion (USD),-1,-1
701,Data Analyst-HEDIS & Star,113000.00,132000.00,"Long Beach, CA",-1,-1,-1,-1,-1,-1,-1,-1,-1
702,Data Entry Clerk and Analyst - Financial,113000.00,132000.00,"Burbank, CA","Chicago, IL",51 to 200 employees,1991,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1,-1
703,"Analyst, Financial Master Data",113000.00,132000.00,"Burbank, CA","Burbank, CA",5001 to 10000 employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),NBCUniversal,-1
704,Senior Clinical Data Analyst,113000.00,132000.00,"Gardena, CA","Renton, WA",10000+ employees,1855,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1,-1
705,Sr. Data Analyst (Pharmacy),113000.00,132000.00,"Long Beach, CA","Long Beach, CA",10000+ employees,1980,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1,-1
706,"Sr Analyst, Data",113000.00,132000.00,"Long Beach, CA","Long Beach, CA",10000+ employees,1980,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1,-1
707,Systems and Data Analyst,113000.00,132000.00,"Los Angeles, CA","Los Angeles, CA",201 to 500 employees,-1,Nonprofit Organization,-1,-1,Unknown / Non-Applicable,-1,-1
708,"Analyst, Financial Master Data",113000.00,132000.00,"Burbank, CA","New York, NY",10000+ employees,2003,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media,$10+ billion (USD),"Walt Disney Company, NBCUniversal",-1
709,Copyright Data Analyst,113000.00,132000.00,"Woodland Hills, CA","Glendale, CA",1001 to 5000 employees,1964,Company - Private,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),"Kelly, Manpower",-1
710,LIMS Master Data Analyst,113000.00,132000.00,"Santa Monica, CA","Santa Barbara, CA",201 to 500 employees,1999,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,-1
711,Data Analyst *Temp-Hire*,113000.00,132000.00,"Pico Rivera, CA","San Clemente, CA",1 to 50 employees,2013,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1
712,"QM DATA ANALYST II, WHITTIER, FULL TIME DAYS",113000.00,132000.00,"Whittier, CA","Whittier, CA",5001 to 10000 employees,1959,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),"Adventist Health, Providence Health & Services",-1
713,Radar Telemetry Data Analyst - RT,113000.00,132000.00,"Anaheim, CA",-1,-1,-1,-1,-1,-1,-1,-1,-1
714,Sr. Data Analyst — US Safety,113000.00,132000.00,"Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1
715,Data Analyst - Marketing Analytics,113000.00,132000.00,"Brea, CA","Los Angeles, CA",1001 to 5000 employees,1961,Company - Public,Insurance Carriers,Insurance,$2 to $5 billion (USD),-1,-1
716,Radar Telemetry Data Analyst,42000.00,63000.00,"Anaheim, CA",-1,-1,-1,-1,-1,-1,-1,-1,-1
717,Radar Telemetry Data Analyst,42000.00,63000.00,"Anaheim, CA",-1,-1,-1,-1,-1,-1,-1,-1,-1
718,Senior Healthcare Data Analyst,42000.00,63000.00,"San Fernando, CA",-1,-1,-1,-1,-1,-1,-1,-1,-1
719,Radar Telemetry Data Analyst,42000.00,63000.00,"Anaheim, CA",-1,-1,-1,-1,-1,-1,-1,-1,-1
720,Data Analyst,60000.00,66000.00,"Chicago, IL","Rosemont, IL",1001 to 5000 employees,1991,Company - Public,Banks & Credit Unions,Finance,$500 million to $1 billion (USD),"J.P. Morgan, Bank of America",-1
721,Data Analyst,60000.00,66000.00,"Chicago, IL","Chicago, IL",501 to 1000 employees,2000,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,-1,-1
